id;fase;pergunta;alternativa_0;alternativa_1;alternativa_2;alternativa_3;resposta_correta;dica;explicacao
1;1;O que devemos fazer com o lixo para proteger o meio ambiente?;Jogar na rua;Separar e reciclar;Queimar tudo;Enterrar no quintal;1;Pense no que acontece quando transformamos coisas velhas em coisas novas!;Separar o lixo em recicláveis, orgânicos e rejeitos é a melhor forma de proteger o meio ambiente. A reciclagem transforma o lixo em novos produtos, reduzindo a necessidade de extrair mais recursos naturais e diminuindo a poluição.
2;1;Qual é a cor da lixeira para papel?;Azul;Verde;Amarela;Vermelha;0;Lembre-se da cor do céu! É a mesma cor da lixeira do papel.;A lixeira azul é usada para o descarte de papel, como jornais, revistas, caixas e embalagens de papelão. Essa separação facilita o processo de reciclagem do material.
3;1;Qual protocolo internacional buscou reduzir a emissão de gases do efeito estufa?;Protocolo de Montreal;Protocolo de Kyoto;Acordo de Paris;Tratado de Tordesilhas;1;Foi assinado em 1997 no Japão.;O Protocolo de Kyoto estabeleceu metas para a redução da emissão de gases do efeito estufa, envolvendo diversos países.
4;1;Qual animal é conhecido por ser o rei da selva?;Elefante;Girafa;Leão;Macaco;2;Esse animal tem uma juba bonita e ruge bem alto!;O leão é conhecido como o rei da selva devido à sua força e juba majestosa. Embora a expressão seja popular, leões vivem em savanas, e não em selvas.
5;1;O que as árvores produzem que precisamos para respirar?;Água;Oxigênio;Comida;Sombra;1;É algo invisível que entra e sai dos nossos pulmões o tempo todo!;As árvores, por meio da fotossíntese, absorvem gás carbônico e liberam oxigênio, que é fundamental para a respiração de todos os seres vivos.
6;2;Qual é a fonte de energia que vem do Sol?;Energia solar;Energia da chuva;Energia do vento;Energia da terra;0;O nome já diz de onde vem... lembra do astro que brilha no céu!;A energia solar é uma fonte de energia renovável e limpa que utiliza a luz e o calor do Sol para gerar eletricidade, ajudando a diminuir a emissão de gases poluentes.
7;2;O que devemos fazer para economizar energia elétrica?;Deixar todas as luzes acesas;Desligar aparelhos quando não usar;Usar mais ar condicionado;Ligar a TV o dia todo;1;Pense no que você faz quando sai de um quarto... o que deve fazer com a luz?;Desligar as luzes e os aparelhos eletrônicos da tomada quando não estão em uso é uma forma eficiente de economizar energia elétrica, o que reduz custos e o impacto ambiental da sua produção.
8;2;Qual cor representa a natureza?;Roxo;Azul;Verde;Rosa;2;É a cor das folhas das árvores e da grama!;A cor verde é frequentemente associada à natureza, pois é a cor predominante de plantas, árvores e grama, elementos essenciais dos ecossistemas terrestres.
9;2;Qual é a principal fonte de energia no Brasil?;Petróleo;Hidrelétrica;Nuclear;Solar;1;É obtida pelo movimento da água nas represas.;A matriz elétrica brasileira é baseada em hidrelétricas, que representam a maior parte da geração de energia.
10;2;Quanto tempo uma sacola plástica demora para se decomor na natureza?;1 ano;10 anos;100 anos;Mais de 400 anos;3;É muito, muito tempo! Mais do que a idade da sua bisavó!;O tempo de decomposição de uma sacola plástica é muito longo, podendo levar mais de 400 anos. Isso significa que a sacola jogada fora hoje ainda existirá por várias gerações, causando poluição por muito tempo.
11;3;Qual é o habitat natural dos peixes?;Árvores;Água;Ar;Terra;1;É onde eles nadam e respiram com suas brânquias!;O habitat natural dos peixes é a água, sejam rios, lagos ou oceanos. Eles possuem brânquias para extrair o oxigênio dissolvido na água e sobreviver nesse ambiente.
12;3;Qual bioma brasileiro é exclusivo do Brasil?;Cerrado;Caatinga;Mata Atlântica;Pantanal;1;É semiárido e ocupa o Nordeste.;A Caatinga é um bioma exclusivamente brasileiro, caracterizado pelo clima seco e vegetação adaptada à escassez de água.
13;3;Qual animal está em risco de extinção?;Cachorro;Gato;Panda;Galinha;2;É um ursinho preto e branco que come bambu e é muito fofo!;O panda gigante é um animal em risco de extinção, principalmente devido à perda de seu habitat natural e à baixa taxa de reprodução. Esforços de conservação têm sido feitos para proteger a espécie.
14;3;O que significa reciclar?;Jogar lixo fora;Transformar lixo em coisas novas;Queimar o lixo;Esconder o lixo;1;É como fazer mágica: transformar algo velho em algo útil novamente!;Reciclar é o processo de transformar materiais descartados em novos produtos. Isso reduz a quantidade de lixo em aterros sanitários e conserva os recursos naturais.
15;3;Qual é o maior mamífero do mundo?;Elefante;Girafa;Baleia;Hipopótamo;2;Vive no mar e é gigantesca! Pode ser maior que um ônibus!;A baleia-azul é o maior mamífero e o maior animal do planeta. Pode chegar a mais de 30 metros de comprimento e pesar cerca de 180 toneladas.